faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,fault_present
0.0,10.0,1,0.25125,3671.5,4498.3,9.3137,26.652,42.276,2705.1,74.331,120.42,0.33973,80.075,51.162,2633.5,24.639,49.228,3102.0,22.768,65.73,231.03,341.54,94.648,77.169,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.924,54.112,24.572,60.716,22.456,39.745,41.519,44.748,47.38,41.004,18.549,0
0.0,10.0,2,0.25068,3661.1,4533.6,9.2646,26.894,42.133,2705.6,75.509,120.41,0.33739,80.166,49.038,2634.6,25.159,51.334,3102.8,24.347,65.718,231.94,341.35,94.519,77.237,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.103,53.689,24.629,62.093,22.091,40.031,35.268,49.621,47.3,41.822,14.796,0
0.0,10.0,3,0.24835,3656.7,4496.2,9.3947,27.098,42.706,2704.4,74.321,120.41,0.33955,80.131,50.587,2632.5,25.589,50.228,3102.9,22.859,65.769,229.17,341.3,94.62,77.199,32.034,9.1439,26.557,7.1237,18.643,1.61,32.736,13.844,23.911,1.1216,18.721,2.2971,4.8717,2.2806,0.017866,0.8357,0.098577,53.724,43.828,63.179,54.136,24.865,60.299,22.107,39.766,39.829,47.063,47.545,40.894,18.325,0
0.0,10.0,4,0.24777,3649.6,4524.2,9.4125,26.842,42.766,2704.5,75.079,120.4,0.33784,80.068,50.645,2631.9,23.805,49.973,3102.3,23.904,65.741,230.43,341.27,94.628,77.143,32.034,9.1439,26.557,7.1237,18.643,1.61,32.736,13.844,23.911,1.1216,18.721,2.2971,4.8717,2.2806,0.017866,0.8357,0.098577,53.724,43.828,63.301,53.801,24.922,59.825,22.018,39.975,39.998,46.47,47.433,41.288,15.854,0
0.0,10.0,5,0.26755,3587.1,4476.1,9.3137,27.09,42.104,2703.6,74.589,120.39,0.34044,79.96,49.218,2632.1,24.615,49.721,3101.9,23.299,65.702,229.93,341.46,94.72,77.107,32.111,8.9154,26.168,6.8835,18.678,1.6746,33.294,13.83,23.925,1.212,18.339,2.2216,4.9131,2.3051,0.017866,0.8357,0.098577,53.724,43.828,62.142,54.716,26.065,59.509,22.012,40.246,35.8,45.888,47.48,40.297,17.302,0
0.0,10.0,6,0.2652,3578.9,4542.8,9.3431,27.058,42.266,2706.7,74.744,120.39,0.33799,80.103,51.083,2635.7,24.457,50.779,3102.5,23.47,65.726,230.84,341.71,94.878,77.542,32.111,8.9154,26.168,6.8835,18.678,1.6746,33.294,13.83,23.925,1.212,18.339,2.2216,4.9131,2.3051,0.0013003,0.84144,0.095372,53.388,44.178,62.283,53.917,26.297,62.437,22.558,40.545,41.288,48.336,47.399,40.995,16.86,0
0.0,10.0,7,0.25809,3670.6,4516.1,9.3491,26.959,42.013,2709.3,74.485,120.42,0.3391,80.28,49.447,2639.3,27.757,50.093,3106.2,21.227,65.743,229.89,341.82,94.532,77.495,32.492,8.9232,26.325,6.8844,18.466,1.6381,32.646,13.832,23.654,1.2337,18.711,2.2424,4.8189,2.272,0.0013003,0.84144,0.095372,53.388,44.178,62.698,54.171,25.769,62.887,22.662,40.033,36.474,46.75,47.484,40.784,22.175,0
0.0,10.0,8,0.25924,3638.3,4531.5,9.4034,26.502,42.528,2709.0,73.951,120.41,0.33974,80.064,49.173,2637.8,24.975,50.368,3105.2,22.319,65.733,229.29,341.93,94.695,77.06,32.492,8.9232,26.325,6.8844,18.466,1.6381,32.646,13.832,23.654,1.2337,18.711,2.2424,4.8189,2.272,0.0013003,0.84144,0.095372,53.388,44.178,63.254,53.986,25.656,61.654,22.133,39.955,35.665,47.386,47.537,41.218,19.622,0
0.0,10.0,9,0.22247,3627.8,4510.4,9.271,26.874,42.259,2706.5,74.617,120.41,0.33394,79.818,50.127,2635.3,25.402,51.45,3103.0,22.96,65.681,230.14,341.85,94.554,76.897,32.197,8.8167,26.562,7.0866,18.886,1.6576,32.704,13.798,23.906,1.1753,18.353,2.2493,4.8521,2.4104,0.0013003,0.84144,0.095372,53.388,44.178,63.425,54.793,21.782,62.573,22.377,40.743,38.475,49.891,47.463,41.078,18.132,0
0.0,10.0,10,0.22195,3621.4,4539.1,9.2794,26.864,42.386,2705.8,75.655,120.39,0.33685,79.796,49.399,2634.1,24.948,50.479,3102.5,22.573,65.632,228.85,342.35,94.841,77.104,32.197,8.8167,26.562,7.0866,18.886,1.6576,32.704,13.798,23.906,1.1753,18.353,2.2493,4.8521,2.4104,0.0013003,0.84144,0.095372,53.388,44.178,63.534,54.45,21.833,61.812,22.375,40.389,36.331,47.643,47.585,40.877,19.045,0
